Item,Description,Qty,Unit Price,Total,Vendor,Notes
1,"SPST On/Off Mini Boat Rocker Switch, AC 6A/250V 10A/125V, 2 Solder Lug, 2Pin Toggle, Snap-in, 15 Pcs",1,8.99,8.99,ZUPAYIPA / Amazon.ca,In Stock
2,Li-Po Battery Pack 3.7V 1100mAh 603449 with JST Connector,1,17.85,17.85,A2BATT INC / Amazon.ca,In Stock; verify device polarity before use
3,"Dual Band WiFi Antenna 2.4GHz/5GHz/5.8GHz MIMO, RP-SMA, Short",1,13.99,13.99,efagur / Amazon.ca,In Stock; for Furrion RV backup camera / router / repeater
4,"2.8"" 240x320 SPI ILI9341 LCD TFT Touch Panel, Serial Port",1,23.23,23.23,Ninlyier / Amazon.ca,Only 3 left in stock
